aqs_id_full,geoid,area_land
840999999991,360610029011,0.036194
840999999991,360610006002,0.064678
840999999991,360610041004,0.030922
840999999991,360610006003,0.020959
840999999991,360610006004,0.021493
840999999991,360610030022,0.04143
840999999991,360610043003,0.06955
840999999991,360610018004,0.021687
840999999991,360610008003,0.017334
840999999991,360610008004,0.014371
840999999991,360610006006,0.052254
840999999991,360610031001,0.088496
840999999991,360610016005,0.035682
840999999991,360610029023,0.010482
840999999991,360610029025,0.027455
840999999991,360610021003,0.082411
840999999991,360610033004,0.063224
840999999991,360610008006,0.105814
840999999991,360610016003,0.036846
840999999991,360610015010,0
840999999991,360610025002,0.025738
840999999991,360610016004,0.028874
840999999991,360610018003,0.040671
840999999991,360610008000,0
840999999991,360610041002,0.032684
840999999991,360610030011,0.031204
840999999991,360610049001,0.136615
840999999991,360610018001,0.031191
840999999991,360610036013,0.056579
840999999991,360610014011,0.056638
840999999991,360610049002,0.036368
840999999991,360610027001,0.059282
840999999991,360610006005,0.039715
840999999991,360610014022,0.057077
840999999991,360610008005,0.033697
840999999991,360610029022,0.047697
840999999991,360610030012,0.028722
840999999991,360610025000,0
840999999991,360610016001,0.084532
840999999991,360610018007,0.017675
840999999991,360610029021,0.022983
840999999991,360610008001,0.031489
840999999991,360610041005,0.047114
840999999991,360610002011,0.024882
840999999991,360610055011,0.051576
840999999991,360610041003,0.028939
840999999991,360610047001,0.042747
840999999991,360610006001,0.041307
840999999991,360610014012,0.036867
840999999991,360610025001,0.035945
840999999991,360610043001,0.054068
840999999991,360610002012,0.065351
840999999991,360610033003,0.048621
840999999991,360610029024,0.015213
840999999991,360610031002,0.116473
840999999991,360610029013,0.034461
840999999991,360610033002,0.143992
840999999991,360610029012,0.0744
840999999991,360610021002,0.063081
840999999991,360610037003,0.142392
840999999991,360610018006,0.01665
840999999991,360610015013,0.112827
840999999991,360610025003,0.040388
840999999991,360610033001,0.08584
840999999991,360610036011,0.020483
840999999991,360610036012,0.02275
840999999991,360610015011,0.098114
840999999991,360610055022,0.07113
840999999991,360610045001,0.104948
840999999991,360610021001,0.061166
840999999991,360610041001,0.025999
840999999991,360610036021,0.037938
840999999991,360610030014,0.03085
840999999991,360610041006,0.02562
840999999991,360610043002,0.025621
840999999991,360610047002,0.122673
840999999991,360610014021,0.056843
840999999991,360610030013,0.033374
840999999991,360610006000,0
