area,model,att,se_att,stars,yhat1,yhatse1,yhat0,yhatse0,percentchange
CRZ,M9,-3.0475812341544,0.022017095790981944,***,9.311257273995277,0.013224237393043256,12.213417365388224,0.015634272803993692,0.2376206433112995
NYC,M6,-1.052555811465167,0.006176946610478331,***,8.584310917503235,0.0038635314789361103,9.59966257845751,0.004174191890360869,0.10576951561118553
CBSA,M3,-0.6847071049740843,0.006227433633157079,***,8.001335458406574,0.003926099639354953,8.635115948931997,0.004124595426005505,0.07339571283971114
Overall,Combined,-1.2252624065974684,0.005012613310033993,***,8.33963773761077,0.0026959520960832505,9.21714121758258,0.00288357286914988,0.09520343230695949
Bergen,Mixed,-0.7180239168537644,0.02331859205514401,***,9.13946736739196,0.014875077948664318,9.799009589587843,0.015656910426209973,0.0673070289569565
Bronx,Mixed,-1.0294232262120064,0.011589118465230915,***,8.189373413000004,0.00725234342255714,9.183290190209181,0.007834983081475025,0.10823101052266082
Hudson,Mixed,-0.7071804914894899,0.016230580649969076,***,8.83914041316283,0.010369483392927025,9.50279698310567,0.010872775463529384,0.06983802464923805
Hunterdon,Mixed,-0.6595703565099466,0.02220932638585581,***,7.582134528745068,0.013944991049857759,8.198061170868327,0.014624682183265807,0.07513076924967865
Kings,Mixed,-1.0897660614616063,0.015134397055912671,***,9.318712717917943,0.009518362557854484,10.378546218976442,0.010250036883621944,0.10211772233770733
Middlesex,Mixed,-0.7074281846382808,0.02272191487694804,***,7.545820876153865,0.014295024004042759,8.168244535587608,0.015028112183407395,0.0762004194073711
Morris,Mixed,-0.6533405840522272,0.022078056690364965,***,7.4230166719744,0.013818048535613511,8.03588088670736,0.014570000083404748,0.07626596553300535
New York,Mixed,-2.3913079743746137,0.01579957381038447,***,9.2022026555378,0.008482643296392582,10.920723475254173,0.009480306164145557,0.15736327575828257
Ocean,Mixed,-0.6695627646794763,0.022742531357932385,***,7.787064590606962,0.014333071006113956,8.411921594131757,0.015009309924817669,0.07428231427652643
Passaic,Mixed,-0.6999139320945428,0.02288807811954137,***,8.606643528836761,0.014569864832976877,9.263587768851668,0.015154790624877592,0.07091682579225378
Queens,Mixed,-1.0456385571623055,0.01217050524275612,***,8.493223281563694,0.007607557395895374,9.497158816982667,0.008230175367741614,0.1057090393838368
Richmond,Mixed,-1.0403778651702142,0.01496797519593148,***,8.28359564669524,0.009331143113183737,9.280540822159692,0.010108848144001717,0.1074231765765189
Rockland,Mixed,-0.6602735659622535,0.021134884533363502,***,7.549676592722722,0.013271461320822601,8.173721551235067,0.01398251960326891,0.07634771439186716
Suffolk,Mixed,-0.6682305510821173,0.021598038113514774,***,7.7451566116028,0.013638626484716592,8.353168301014689,0.014369745118095753,0.07278815265077698
Union,Mixed,-0.6959406582023203,0.016066706863457614,***,7.862283511237762,0.010143532203748147,8.483844276121353,0.010646776366712527,0.07326404689358068
Westchester,Mixed,-0.6628786466582326,0.021656669228291264,***,7.6262570942351156,0.013569040098204829,8.256218713997352,0.014350142471634988,0.07630146942379545
Long Island,Mixed,-1.0269373893647886,0.008838851221592453,***,8.644291796724563,0.005447973248880394,9.594978789248572,0.005859669863663198,0.09908171903300911
Long Island (Nassau & Suffolk),M3,-0.6682305510821173,0.021598038113514774,***,7.7451566116028,0.013638626484716592,8.353168301014689,0.014369745118095753,0.07278815265077698
