id,sediff,diff,yhat1,yhat0,se1,se0,date,aqs_id_full,treated,area,name,model,percentchg,observed,bgmean
15541,0.4256838276194449,0.00768907806017182,6.596216279462333,6.588527201402162,0.3017182826913948,0.3021769367667641,2025-01-05,840999999991,FALSE,crz,New York,M9,0.0011670404970833908,NA,NA
15545,0.44505471230089005,9.97297307787898e-4,7.23664942460934,7.2356521273015515,0.3151973331139475,0.316772123537005,2025-01-05,840999999995,FALSE,crz,New York,M9,1.378310192698316e-4,NA,NA
15546,0.4054617068690057,0.005580665975856142,5.899608417553508,5.894027751577651,0.2877021578210195,0.2871326822260841,2025-01-05,840999999996,FALSE,crz,New York,M9,9.468340175972819e-4,NA,NA
15553,0.38902406033242665,0.0021908571963281907,5.089976421088262,5.087785563891934,0.27379166631381174,0.27773193425466974,2025-01-05,840999999913,FALSE,crz,New York,M9,4.3061115072866405e-4,NA,NA
15554,0.4103692831169733,-0.0016412942502652863,5.80409330911917,5.8057346033694355,0.2887761624860376,0.2916140739100231,2025-01-05,840999999914,FALSE,crz,New York,M9,-2.8270225258191086e-4,NA,NA
15556,0.4670784158512105,-0.004955917486892592,7.739834771677476,7.744790689164368,0.32941407332389155,0.3306159292034411,2025-01-05,840999999916,FALSE,crz,New York,M9,-6.399033473979289e-4,NA,NA
15583,0.4397355616017683,-0.9609614875496788,5.631629696955198,6.592591184504877,0.3251427714999359,0.3004010939403136,2025-01-05,840999999991,TRUE,crz,New York,M9,-0.14576385227834354,NA,NA
15587,0.47018115361706686,-1.0092041861545071,6.229159367020232,7.238363553174739,0.34468197597598527,0.31558499216015895,2025-01-05,840999999995,TRUE,crz,New York,M9,-0.13942435727919072,NA,NA
15588,0.42535240904997607,-0.9007410398500425,4.988076778151157,5.8888178180012,0.3057930227164346,0.291568432752894,2025-01-05,840999999996,TRUE,crz,New York,M9,-0.15295787162860044,NA,NA
15595,0.40625363554875865,-0.8396157188442799,4.246152578048611,5.0857682968928914,0.2971214678495165,0.273010474127454,2025-01-05,840999999913,TRUE,crz,New York,M9,-0.16509122512664137,NA,NA
15596,0.42783114128860816,-0.8998903108912258,4.898643705288348,5.798534016179574,0.30878419009743663,0.2922421065915686,2025-01-05,840999999914,TRUE,crz,New York,M9,-0.15519272774468057,NA,NA
15598,0.4897708353816611,-1.042366811258547,6.7003716274190905,7.7427384386776374,0.35877973626043297,0.33190613680815934,2025-01-05,840999999916,TRUE,crz,New York,M9,-0.13462508381421834,NA,NA
15625,0.5707405085913643,-1.2037701392434828,8.627606493877673,9.831376633121156,0.4111227934280815,0.39023806978149184,2025-01-06,840999999991,TRUE,crz,New York,M9,-0.12244166653000285,NA,NA
15629,0.602186017189183,-1.2764102418256509,9.537393110265935,10.813803352091586,0.43821912821660064,0.4047217486165108,2025-01-06,840999999995,TRUE,crz,New York,M9,-0.1180352740165901,NA,NA
15630,0.5479949345550759,-1.1523618792477959,7.828031756598888,8.980393635846683,0.39443413044569636,0.3783882372727802,2025-01-06,840999999996,TRUE,crz,New York,M9,-0.1283197514469698,NA,NA
15637,0.5366243494596418,-1.0868611013222704,7.047139285183435,8.134000386505704,0.39847722779932215,0.36492709834717074,2025-01-06,840999999913,TRUE,crz,New York,M9,-0.13361950450916765,NA,NA
15638,0.5433525728771915,-1.1464373665047527,7.718607350350689,8.865044716855442,0.3973143363725082,0.3741619460239611,2025-01-06,840999999914,TRUE,crz,New York,M9,-0.12932110362906443,NA,NA
15640,0.6246412329386427,-1.2895089935681194,10.120984599732958,11.410493593301078,0.46075229492178094,0.4244276108853641,2025-01-06,840999999916,TRUE,crz,New York,M9,-0.11301079861480925,NA,NA
15667,0.5800378296338161,-1.2054545831145496,8.376698672794694,9.582153255909244,0.40833586815735196,0.4155658971330936,2025-01-07,840999999991,TRUE,crz,New York,M9,-0.12580205627280638,NA,NA
15671,0.6210439400189082,-1.2723697703964865,9.281814334907995,10.554184105304483,0.43145796498667593,0.44164564117947486,2025-01-07,840999999995,TRUE,crz,New York,M9,-0.12055595749528374,NA,NA
15672,0.5637843300856459,-1.1507425696620037,7.584663516405916,8.73540608606792,0.3889072181375988,0.40868400161309726,2025-01-07,840999999996,TRUE,crz,New York,M9,-0.1317331510778097,NA,NA
15679,0.5439848637196012,-1.0944575308764217,6.824400649200948,7.91885818007737,0.37912474821926934,0.3936103013189043,2025-01-07,840999999913,TRUE,crz,New York,M9,-0.13820900766096667,NA,NA
15680,0.5609403040341948,-1.153929653889913,7.476384354793946,8.63031400868386,0.39165044807621674,0.4091410926014083,2025-01-07,840999999914,TRUE,crz,New York,M9,-0.13370656649674903,NA,NA
15682,0.64053530448989,-1.3046497774932377,9.876252077775264,11.180901855268502,0.44763622729814667,0.4598929255266828,2025-01-07,840999999916,TRUE,crz,New York,M9,-0.1166855584979918,NA,NA
15709,0.5044935738713036,-1.0495931652350294,5.9624135387001616,7.0120067039351905,0.3153678687532339,0.38715578187789507,2025-01-08,840999999991,TRUE,crz,New York,M9,-0.14968513430627353,NA,NA
15713,0.5318245274618071,-1.0750072381394,6.426589341193859,7.501596579333259,0.33270235189228486,0.41227707090974214,2025-01-08,840999999995,TRUE,crz,New York,M9,-0.14330379230216436,NA,NA
15714,0.4812874539997308,-0.9911435451052445,5.303033255262356,6.294176800367601,0.30016150667966235,0.37457867976017073,2025-01-08,840999999996,TRUE,crz,New York,M9,-0.15746992443036528,NA,NA
15721,0.4521409888058388,-0.9026377972869251,4.410845237031918,5.313483034318843,0.2834470387950225,0.35249322864273286,2025-01-08,840999999913,TRUE,crz,New York,M9,-0.16987685694241383,NA,NA
15722,0.47553982649989757,-0.973055409364269,5.21390762006318,6.186963029427449,0.29812189946770445,0.37063047369993674,2025-01-08,840999999914,TRUE,crz,New York,M9,-0.15727512912814626,NA,NA
15724,0.5516808941811361,-1.1242539506575089,6.910440391285896,8.034694341943405,0.35002050340939406,0.42626281377921404,2025-01-08,840999999916,TRUE,crz,New York,M9,-0.13992491846125138,NA,NA
15751,0.6366980837571428,-1.3292580451324152,9.33632610162487,10.665584146757286,0.4079707560162669,0.49612862341004643,2025-01-09,840999999991,TRUE,crz,New York,M9,-0.12463059002132167,NA,NA
15755,0.6964224522784238,-1.3592502777613313,9.958398783869324,11.317649061630656,0.43995037355800753,0.532877408746769,2025-01-09,840999999995,TRUE,crz,New York,M9,-0.12010005526408234,NA,NA
15756,0.6324865539148763,-1.2618918364843832,8.506749041925039,9.768640878409421,0.39396653066759874,0.49599033877431875,2025-01-09,840999999996,TRUE,crz,New York,M9,-0.12917783058986304,NA,NA
15763,0.6198860532347212,-1.1768345743640725,7.40522290880622,8.582057483170292,0.3941533675134594,0.4738383642593158,2025-01-09,840999999913,TRUE,crz,New York,M9,-0.13712732368338074,NA,NA
15764,0.6264865595619676,-1.248994448865916,8.405818225255167,9.654812674121084,0.393291618866237,0.4906828314223355,2025-01-09,840999999914,TRUE,crz,New York,M9,-0.12936495932373093,NA,NA
15766,0.718068748916053,-1.3968682899707368,10.561679834198586,11.958548124169322,0.4522135697513203,0.5488491224459664,2025-01-09,840999999916,TRUE,crz,New York,M9,-0.1168091874922122,NA,NA
15793,0.5482990785164147,-1.2595642752059901,8.320307801643033,9.579872076849023,0.3573244034661893,0.4166940067661567,2025-01-10,840999999991,TRUE,crz,New York,M9,-0.13148028127117553,NA,NA
15797,0.5717046158545345,-1.326638362623494,9.230547793455298,10.557186156078792,0.3824684195042359,0.43183680784063105,2025-01-10,840999999995,TRUE,crz,New York,M9,-0.12566211706512537,NA,NA
15798,0.5320357812292871,-1.206778176359614,7.53987323695437,8.746651413313984,0.34985336547725127,0.40339291306204417,2025-01-10,840999999996,TRUE,crz,New York,M9,-0.13797030650183217,NA,NA
15805,0.5165011610763448,-1.1410748578274035,6.774362206924176,7.915437064751579,0.3435532663280933,0.385390881378784,2025-01-10,840999999913,TRUE,crz,New York,M9,-0.14415816189212735,NA,NA
15806,0.5316600334521601,-1.1994392162161664,7.431143964252105,8.630583180468273,0.347748611829416,0.4069141754512371,2025-01-10,840999999914,TRUE,crz,New York,M9,-0.138975454049339,NA,NA
15808,0.6036689858638649,-1.3715555536124997,9.785718384759498,11.157273938371997,0.3978587064749697,0.45057888405703844,2025-01-10,840999999916,TRUE,crz,New York,M9,-0.1229292711811492,NA,NA
15835,0.6361223969843615,-1.4490334825751658,10.509507762784347,11.958541245359513,0.41911591349104166,0.47622381870305347,2025-01-11,840999999991,TRUE,crz,New York,M9,-0.1211714249125043,NA,NA
15839,0.6689655689415994,-1.504883998627688,11.548510655281195,13.053394653908883,0.440345271219727,0.5044438529403427,2025-01-11,840999999995,TRUE,crz,New York,M9,-0.11528679232700939,NA,NA
15840,0.614102694586723,-1.3744333050778628,9.629580052827668,11.004013357905531,0.4009916132924288,0.47338109265029965,2025-01-11,840999999996,TRUE,crz,New York,M9,-0.12490291136282917,NA,NA
15847,0.6033137186188916,-1.3244799890481131,8.784529499843387,10.1090094888915,0.39869374470667285,0.4504293217879612,2025-01-11,840999999913,TRUE,crz,New York,M9,-0.1310197592062354,NA,NA
15848,0.6181491553235927,-1.3658124601792,9.517727310094374,10.883539770273574,0.40353253317395443,0.4722497519452851,2025-01-11,840999999914,TRUE,crz,New York,M9,-0.12549340462830583,NA,NA
15850,0.6949297897676214,-1.5570869154841487,12.172180160245281,13.72926707572943,0.4549197810924189,0.523099545237704,2025-01-11,840999999916,TRUE,crz,New York,M9,-0.11341369549411445,NA,NA
15877,0.6634513833990591,-1.5633820750253449,12.077787245734772,13.641169320760117,0.4345109875573572,0.501699307235728,2025-01-12,840999999991,TRUE,crz,New York,M9,-0.11460762917487412,NA,NA
