area,model,att,se_att,stars,yhat1,yhatse1,yhat0,yhatse0,percentchange
CRZ,M7,-3.813875970263474,0.023495396052234892,***,9.567643044279839,0.014132185699064593,13.231735066179963,0.017050893168583096,0.28823702645102545
NYC,M4,-1.7271167936023026,0.006040551583075383,***,9.069004997304186,0.003786227591866879,10.61941307029259,0.00416346764424655,0.1626376883703533
CBSA,M1,-1.2129839608116844,0.006067568500065235,***,8.689245852822122,0.0038591941327377113,9.739458922085785,0.0041192095414206405,0.1245432595912539
Overall,Combined,-1.8660888944044216,0.005073010189586567,***,8.90691508533671,0.0026545866454018474,10.262311558414694,0.002885994021490103,0.18183904121233796
Bergen,Mixed,-1.2433212763818946,0.022829894053744863,***,9.202423431630953,0.014512222141738512,10.286079819093185,0.015600958147772247,0.12087416180399668
Bronx,Mixed,-1.7258883525383975,0.01179349880009241,***,9.054061746294304,0.007396231038164238,10.603336281608549,0.00813148695451068,0.1627684255880808
Hudson,Mixed,-1.2202192208987768,0.01549789440196151,***,8.823539869732517,0.009859628322081936,9.880878608864581,0.010535326967813861,0.123492987739376
Hunterdon,Mixed,-1.203830836039699,0.021666581562656405,***,8.544670097669536,0.013772092586243925,9.588259556376322,0.014695561317609962,0.1255525915794734
Kings,Mixed,-1.7282073683405343,0.01453076937877705,***,9.093301395946066,0.00911197042386736,10.64260139795843,0.010027917106322183,0.16238580246668421
Middlesex,Mixed,-1.2013033816373946,0.02165371486503349,***,8.501049496395,0.013789385224323629,9.542887271640168,0.014671232625169036,0.12588468745800485
Morris,Mixed,-1.2180770182190703,0.021796556989894123,***,8.773898622726723,0.013875306140982814,9.827571623879884,0.01480909577993219,0.12394486296688811
New York,Mixed,-3.1212995580094,0.01666201528405904,***,9.305781263108813,0.008508902916674853,11.524036256743733,0.00965795274956637,0.27085124417088247
Ocean,Mixed,-1.1892853079804382,0.021818055416157063,***,8.296829569583064,0.013878560261869954,9.331553968996769,0.01476167778476988,0.12744772327650133
Passaic,Mixed,-1.2042561816785107,0.021679357920762633,***,8.548034155418641,0.013775384658764626,9.597904959765769,0.01470670143066262,0.12547073415779064
Queens,Mixed,-1.7218219317350563,0.0117179249947547,***,9.008097968539554,0.0073490309025023015,10.555151539665037,0.008076820039018448,0.16312621616702028
Richmond,Mixed,-1.7290387183365856,0.014490292855918966,***,9.096634340867707,0.00908639474341151,10.647842744559982,0.00999504985295079,0.1623839457264672
Rockland,Mixed,-1.207421810424726,0.02170604810285599,***,8.591640849471974,0.013798951400988343,9.636938022865879,0.014700693006828509,0.1252910216460703
Suffolk,Mixed,-1.2013124442770193,0.021678311910405094,***,8.499558108855517,0.013802417480007958,9.541302942841623,0.014712878277816902,0.1259065403827584
Union,Mixed,-1.2175004061490704,0.01546453822003468,***,8.759345818389722,0.009846094438793746,9.811762524999827,0.010507125108070513,0.1240858003897819
Westchester,Mixed,-1.224543979817451,0.021970705001832472,***,8.897013781585256,0.013994752497500292,9.952959672276439,0.014968687736853696,0.12303314995120174
Long Island,Mixed,-1.6768248643681358,0.008523857103142133,***,8.962209885713765,0.005284501833674869,10.427565885307152,0.005783807852740006,0.1608069306692992
Long Island (Nassau & Suffolk),M3,-1.2013124442770193,0.021678311910405094,***,8.499558108855517,0.013802417480007958,9.541302942841623,0.014712878277816902,0.1259065403827584
