area,model,att,se_att,stars,yhat1,yhatse1,yhat0,yhatse0,percentchange
CRZ,M9,-2.899553651903195,0.016779126956227946,***,NA,0,12.21483967569393,0.01562707534550611,0.23737959145488907
NYC,M6,-0.6401764621632512,0.004913312570236645,***,NA,0,9.600482379157492,0.00417422436536783,0.06668169753147668
CBSA,M3,-0.5371724672093514,0.004586224667258736,***,NA,0,8.636672076893094,0.0041245295627459705,0.06219669595266042
Overall,Combined,-0.9327090649159817,0.003878658993682191,***,NA,0,9.218423402622822,0.0028835158808053437,0.10117880511439814
Bergen,Mixed,-0.8765530994672943,0.017295950015120392,***,NA,0,9.796509745991626,0.015643453791340453,0.08947606057616064
Bronx,Mixed,-0.23775539745820165,0.008773621335962866,***,NA,0,9.18433703743393,0.00783784926620875,0.02588705058287244
Hudson,Mixed,-1.1150941223701276,0.012188544006726268,***,NA,0,9.499019401299414,0.010861712477566123,0.11739044581986946
Hunterdon,Mixed,1.7887539298848274,0.016392866000484358,***,NA,0,8.203517602866125,0.014615808485853464,-0.21804718615583596
Kings,Mixed,-0.8757529352348977,0.012258638353926673,***,NA,0,10.377980048646501,0.010250071781119564,0.08438568306451055
Middlesex,Mixed,-1.6006901170218009,0.016705058282679205,***,NA,0,8.172111356436842,0.015034348198788577,0.19587228406536594
Morris,Mixed,-1.2528914611362314,0.016533245960467655,***,NA,0,8.038230654203122,0.014575277116221095,0.15586657251258462
New York,Mixed,-1.9523642972713093,0.011994932916086845,***,NA,0,10.922328390953053,0.009478724921997117,0.1787498258053154
Ocean,Mixed,0.008277960547461886,0.016475629176556827, ,NA,0,8.4109353393022,0.015012126894258813,-9.841902491845023e-4
Passaic,Mixed,-0.19372416739361448,0.016507195025236007,***,NA,0,9.268470297855972,0.0151583714941396,0.020901417512059983
Queens,Mixed,-0.8787849086921131,0.010131836069479259,***,NA,0,9.500871243670469,0.008231932127378539,0.09249519187806743
Richmond,Mixed,-1.1016742497653558,0.012220026278947152,***,NA,0,9.277841060395833,0.010099851723413744,0.11874252238142502
Rockland,Mixed,-1.9788652255649521,0.01534287147645445,***,NA,0,8.167878046403791,0.013977389226718206,0.2422740905682622
Suffolk,Mixed,-0.6284916533143771,0.0156797574514127,***,NA,0,8.355153797239216,0.014367894672531748,0.0752220328394253
Union,Mixed,0.816964866126664,0.011888574617715994,***,NA,0,8.48933016271003,0.010653091147463482,-0.09623431418832529
Westchester,Mixed,-1.6162316881199998,0.015748031923442776,***,NA,0,8.257792204292778,0.01436761667715404,0.19572200996772582
Long Island,Mixed,-0.8546524664358435,0.0072368201429509355,***,NA,0,9.596971627488772,0.0058601847739359475,0.08905439128191717
Long Island (Nassau & Suffolk),M3,-0.6284916533143771,0.0156797574514127,***,NA,0,8.355153797239216,0.014367894672531748,0.0752220328394253
