id,sediff,diff,yhat1,yhat0,se1,se0,date,aqs_id_full,treated,area,name,model,percentchg
15541,0.5002322724767637,-0.008101359458718945,7.538028186451503,7.546129545910222,0.35740976345041203,0.3565167145422822,2025-01-05,840999999991,FALSE,crz,New York,M7,-0.001073578105097552
15545,0.4957394845254585,0.003749458307989068,7.545670168748644,7.541920710440655,0.3508189797822966,0.3516700582969276,2025-01-05,840999999995,FALSE,crz,New York,M7,4.971489958517473e-4
15546,0.5026143266431923,-0.0011217920560672647,7.541334190939849,7.542455982995916,0.36057466962348206,0.35253439015496907,2025-01-05,840999999996,FALSE,crz,New York,M7,-1.4873034176086515e-4
15553,0.49875345665647863,-0.006608608340352058,7.538916890504942,7.5455254988452944,0.3512513083241193,0.35205747523326375,2025-01-05,840999999913,FALSE,crz,New York,M7,-8.758314237177233e-4
15554,0.4975801172870916,-0.003547061732501275,7.545420656739593,7.548967718472095,0.3533119724271623,0.35242388425613297,2025-01-05,840999999914,FALSE,crz,New York,M7,-4.6987374496538413e-4
15556,0.5046273816680323,0.004054896121130525,7.543025448371812,7.538970552250682,0.3522674665778686,0.3596959035467413,2025-01-05,840999999916,FALSE,crz,New York,M7,5.378580660352863e-4
15583,0.4979490734845561,-2.4227352471113464,5.115121910233993,7.53785715734534,0.34979952657790947,0.3494068531011678,2025-01-05,840999999991,TRUE,crz,New York,M7,-0.3214090153924564
15587,0.49093441171048874,-2.419444941765093,5.118876090510403,7.538321032275496,0.344608840599547,0.3533821870258675,2025-01-05,840999999995,TRUE,crz,New York,M7,-0.320952760091562
15588,0.49323439213549236,-2.4275277040181535,5.117928983524404,7.545456687542558,0.34306025147109676,0.3550016072707756,2025-01-05,840999999996,TRUE,crz,New York,M7,-0.32172044775314496
15595,0.49753498200582,-2.423822120664968,5.119289090438225,7.543111211103193,0.349533632187176,0.3516270341280765,2025-01-05,840999999913,TRUE,crz,New York,M7,-0.3213292304503197
15596,0.4885105979701311,-2.4286409894860896,5.110545255432446,7.539186244918536,0.3452601677538538,0.35196881746322034,2025-01-05,840999999914,TRUE,crz,New York,M7,-0.322135693507109
15598,0.4928780434087802,-2.437519710472578,5.114248441162783,7.551768151635361,0.34098142974235424,0.3502757959983457,2025-01-05,840999999916,TRUE,crz,New York,M7,-0.3227747014379308
15625,0.5615853513628644,-2.793399942612103,6.8911113959496255,9.684511338561729,0.3873941251282828,0.40659386173106443,2025-01-06,840999999991,TRUE,crz,New York,M7,-0.28843994755722574
15629,0.5600227436494208,-2.7811172742091816,6.905266293520366,9.686383567729548,0.39596029222719337,0.40251207114508114,2025-01-06,840999999995,TRUE,crz,New York,M7,-0.28711616206016766
15630,0.5691210818361969,-2.78319208279035,6.904654095101309,9.68784617789166,0.3960043364256352,0.40594264372400485,2025-01-06,840999999996,TRUE,crz,New York,M7,-0.2872869812014345
15637,0.5664795191291119,-2.781510921462105,6.900155615902205,9.68166653736431,0.4017469818118863,0.40667951270015346,2025-01-06,840999999913,TRUE,crz,New York,M7,-0.2872967077235579
15638,0.573948261224994,-2.7967056249652447,6.8953038533286435,9.692009478293889,0.40069930468242704,0.40249127364912973,2025-01-06,840999999914,TRUE,crz,New York,M7,-0.2885578714330309
15640,0.5606379744015264,-2.7850012657005174,6.898905094877251,9.683906360577769,0.39698631430023573,0.4029641560806164,2025-01-06,840999999916,TRUE,crz,New York,M7,-0.28759068520509284
15667,0.6587973162238219,-3.2691970746097954,9.690416735881051,12.959613810490845,0.47090228787627264,0.46689571757137316,2025-01-07,840999999991,TRUE,crz,New York,M7,-0.25226037769453985
15671,0.6541687511252263,-3.268117617662239,9.693913668500503,12.962031286162741,0.4605973197309402,0.46961589744474014,2025-01-07,840999999995,TRUE,crz,New York,M7,-0.2521300516494685
15672,0.6623589060669572,-3.2555401505618513,9.70259482915331,12.958134979715162,0.4648543271484145,0.4696695685293183,2025-01-07,840999999996,TRUE,crz,New York,M7,-0.25123523992134034
15679,0.6615670932691122,-3.272317636717064,9.695581045276452,12.967898681993516,0.4614459168722755,0.4716301090425646,2025-01-07,840999999913,TRUE,crz,New York,M7,-0.2523398521967802
15680,0.6539604446269537,-3.272514025835136,9.69383641998637,12.966350445821506,0.4632501742246534,0.46384508270172714,2025-01-07,840999999914,TRUE,crz,New York,M7,-0.2523851286843574
15682,0.6674820214270811,-3.2736817245163796,9.691858261562606,12.965539986078987,0.4688994202309554,0.4715646547792928,2025-01-07,840999999916,TRUE,crz,New York,M7,-0.2524909666725265
15709,0.5868023758575307,-2.868355725567546,7.273308828215889,10.141664553783436,0.37102803538175666,0.4556745427843217,2025-01-08,840999999991,TRUE,crz,New York,M7,-0.2828288897109578
15713,0.5965376255035215,-2.867384006850818,7.275123792153965,10.142507799004782,0.3763268426082684,0.46290354192903727,2025-01-08,840999999995,TRUE,crz,New York,M7,-0.2827095688437307
