area,model,att,se_att,stars,yhat1,yhatse1,yhat0,yhatse0,percentchange
CRZ,M9,-3.0468212143470903,0.022012611395544383,***,9.310030758389907,0.013219602965259048,12.21410889840533,0.015634819705259498,0.2494509619727463
NYC,M6,-1.0517677938385088,0.006163697759765293,***,8.591130678668474,0.0038555541991103655,9.608206498546505,0.004164812563744735,0.10946556925037121
CBSA,M3,-0.6801698246672718,0.006170629396840941,***,8.046578175563896,0.003895874752363309,8.682718434243768,0.004092726053094969,0.07833604530866178
Overall,Combined,-1.2195161936557484,0.0049821445122243905,***,8.362409613110403,0.002683381975260728,9.24102518715944,0.002869559228823669,0.13196763010128854
Bergen,Mixed,-0.718196753596312,0.02328620662252714,***,9.139189481439738,0.014866890309413235,9.808602717640932,0.015661360879911882,0.07322110745749977
Bronx,Mixed,-1.0292959130623573,0.01159226571737959,***,8.190142608280732,0.0072522077527289956,9.184995998886238,0.00783338849018448,0.11206275029266954
Hudson,Mixed,-0.7075273415194444,0.016228118500611743,***,8.845725053747868,0.01037026043932833,9.505508315589909,0.010869511796797519,0.07443340408834687
Hunterdon,Mixed,-0.6592915004796739,0.02217398206291574,***,7.583682111001669,0.013942807978867034,8.204238856880218,0.014599550307212186,0.08035986177155008
Kings,Mixed,-1.0900960046054613,0.015130165205210525,***,9.319558322818601,0.009513059968868438,10.372852756900992,0.010247925244375409,0.10509124443902162
Middlesex,Mixed,-0.6737097276092917,0.021508995827037553,***,7.8416329633525095,0.013609895227064897,8.47377031396346,0.014303817977997959,0.0795053090475113
Morris,Mixed,-0.6535717669421515,0.022069395751539083,***,7.425989255305612,0.013806037431717872,8.032867420395116,0.014578747004181497,0.08136220016313978
New York,Mixed,-2.390702164903675,0.01579771775353901,***,9.200325761241492,0.008479987443923958,10.920854434682347,0.009482373833806988,0.21891164095286408
Ocean,Mixed,-0.6698774435781218,0.02273404278490394,***,7.776899689727922,0.014309663308779608,8.416495945664042,0.015021687997965256,0.07959101363593302
Passaic,Mixed,-0.6995903558768914,0.022845207251377547,***,8.612176129081005,0.014557292996941164,9.276366642157308,0.015176060129672406,0.07541641925811104
Queens,Mixed,-1.045459031626703,0.01217200534275065,***,8.492836737506051,0.007610587694584459,9.503438483721476,0.00822965902808564,0.11000850201929313
Richmond,Mixed,-1.0365883434197412,0.01477367123520449,***,8.328698415605357,0.009221964533920567,9.331680401967146,0.009981672488472067,0.11108270951941568
Rockland,Mixed,-0.6598963225086436,0.021147626195333943,***,7.541461853760726,0.013265444457019602,8.165591320840562,0.013975305376297225,0.08081427254685514
Suffolk,Mixed,-0.6683524881891753,0.021602979951837697,***,7.744141615650187,0.013646644120431596,8.355788062411145,0.014365244737193092,0.0799867688358189
Union,Mixed,-0.6804971045494776,0.0156386482126222,***,8.020998516526616,0.009902265808010808,8.647118992075914,0.010384152995191883,0.07869639647298421
Westchester,Mixed,-0.6636724697564279,0.021610208120492982,***,7.635580088161945,0.013583010588304625,8.257661355382877,0.014342277111421418,0.08037051184277533
Long Island,Mixed,-1.0269706390832984,0.00883861087219212,***,8.644685963809252,0.00544860105471406,9.596706239181744,0.005858783762396063,0.10701282434699833
Long Island (Nassau & Suffolk),M3,-0.6683524881891753,0.021602979951837697,***,7.744141615650187,0.013646644120431596,8.355788062411145,0.014365244737193092,0.0799867688358189
