area,model,att,se_att,stars,yhat1,yhatse1,yhat0,yhatse0,percentchange
CRZ,M9,-2.899602250865083,0.016783301195859402,***,10.866853817968744,0.011071827861659876,12.215977928171823,0.015632991029718924,0.2373614513642971
NYC,M6,-0.6343230251065342,0.004897829444685118,***,10.245794951748367,0.003254060843524865,9.609885339026027,0.0041647898306478226,0.06600734584527557
CBSA,M3,-0.5144121557868289,0.004543103820181642,***,9.573293847024836,0.0032688197214115417,8.682678171767638,0.004091259032262937,0.05924579324608359
Overall,Combined,-0.9191375686064643,0.0038535235310653577,***,10.126846687893156,0.0022960690060474438,9.241693572457578,0.002869034714330333,0.09945553392353434
Bergen,Mixed,-0.8765017074034085,0.01731133123887312,***,10.327177425193241,0.013891740709496675,9.798446340830472,0.015656681815844974,0.08945313133481114
Bronx,Mixed,-0.23762964406708104,0.008769570788928593,***,10.302958400908928,0.005725341890477476,9.183416389737127,0.00783331583108943,0.02587595225809891
Hudson,Mixed,-1.115170518315444,0.012184545862146545,***,9.7057210581874,0.009028780998010974,9.501365093356283,0.01086069834085303,0.11736950505093346
Hunterdon,Mixed,1.7886885486403332,0.016392018295820873,***,11.301604450671917,0.012745681415895518,8.203872617032125,0.014619887903064564,-0.21802978082897373
Kings,Mixed,-0.875759458602103,0.012252125102318257,***,10.68104656770667,0.008185922832555224,10.380057390173986,0.010246094427609615,0.08436942356707178
Middlesex,Mixed,-1.4551052994429892,0.015756019410572933,***,8.450755290885605,0.011922776470317736,8.471800403094452,0.014280437345406927,0.1717586853098534
Morris,Mixed,-1.2527447263202327,0.01653508540276798,***,8.021700563253335,0.01286314149586223,8.039794213698476,0.014573001579084586,0.15581800889701414
New York,Mixed,-1.9524363950596575,0.011997235676422394,***,11.100047789230938,0.00556074670890761,10.927004424943226,0.009482360433108948,0.17867993085120426
Ocean,Mixed,0.008058410136196716,0.016463168148073064, ,NA,NA,8.41993987788709,0.015017001785363497,-9.570626694568318e-4
Passaic,Mixed,-0.19412500184596457,0.016507429457812778,***,NA,NA,9.26276528942133,0.015151192245019637,0.02095756459117759
Queens,Mixed,-0.8788111558417505,0.010121903399570687,***,9.755445837197378,0.006540091785788343,9.501332800552621,0.0082272894352159991,0.09249346110586054
Richmond,Mixed,-1.0533582233106162,0.012023758691546413,***,9.40230420068134,0.00783560204020699,9.333893204821399,0.009986975891376348,0.11285304001191121
Rockland,Mixed,-1.978911916960236,0.015355893955645381,***,NA,NA,8.17053781468877,0.013987232462066852,0.24220093729969672
Suffolk,Mixed,-0.6282797469871066,0.01567349482603423,***,NA,NA,8.351390709643526,0.014357698431577188,0.0752305536683392
Union,Mixed,0.8740708359523426,0.011529181199044787,***,10.947114256449078,0.007695020835123964,8.65751198749664,0.010380712156284937,-0.10096097322356501
Westchester,Mixed,-1.6162372203191646,0.015733705611231982,***,NA,NA,8.251854636443621,0.014341672024410456,0.19586351087441467
Long Island,Mixed,-0.8546496358588858,0.0072311228084953535,***,10.023541862266734,0.004826744782995482,9.597108028222129,0.005857074632882506,0.0890528306387326
Long Island (Nassau & Suffolk),M3,-0.6282797469871066,0.01567349482603423,***,NA,NA,8.351390709643526,0.014357698431577188,0.0752305536683392
