date,Value,running_var
2019-05-07,5.5842857142857145,-68.0082135523614
2019-05-08,5.7586956521739125,-67.97535934291581
2019-05-09,8.363888888888889,-67.94250513347022
2019-05-10,5.1899999999999995,-67.90965092402465
2019-05-11,6.335,-67.87679671457906
2019-05-12,9.935,-67.84394250513347
2019-05-13,5.245238095238095,-67.81108829568788
2019-05-14,3.93,-67.77823408624229
2019-05-15,4.890000000000001,-67.74537987679672
2019-05-16,8.665,-67.71252566735113
2019-05-17,9.52,-67.67967145790554
2019-05-18,6.6000000000000005,-67.64681724845995
2019-05-19,6.01,-67.61396303901438
2019-05-20,11.48,-67.58110882956879
2019-05-21,4.88,-67.5482546201232
2019-05-22,4.09,-67.51540041067761
2019-05-23,6.382857142857143,-67.48254620123203
2019-05-24,7.1980645161290315,-67.44969199178645
2019-05-25,4.127272727272727,-67.41683778234086
2019-05-26,5.865384615384615,-67.38398357289527
2019-05-27,5.6355,-67.35112936344969
2019-05-28,7.197631578947369,-67.31827515400411
2019-05-29,10.176,-67.28542094455852
2019-05-30,10.97764705882353,-67.25256673511294
2019-05-31,9.481739130434782,-67.21971252566735
2019-06-01,13.824782608695651,-67.18685831622176
2019-06-02,16.964761904761904,-67.15400410677618
2019-06-03,6.894545454545454,-67.1211498973306
2019-06-04,3.908421052631579,-67.08829568788501
2019-06-05,8.893555555555556,-67.05544147843942
2019-06-06,12.542280701754386,-67.02258726899385
2019-06-07,11.134673913043478,-66.98973305954826
2019-06-08,10.113483146067418,-66.95687885010267
2019-06-09,5.474782608695652,-66.92402464065708
2019-06-10,7.569659090909091,-66.89117043121149
2019-06-11,7.582307692307692,-66.85831622176592
2019-06-12,6.715108695652174,-66.82546201232033
2019-06-13,5.964395604395604,-66.79260780287474
2019-06-14,7.608260869565218,-66.75975359342915
2019-06-15,7.344891304347826,-66.72689938398358
2019-06-16,9.594239130434783,-66.69404517453799
2019-06-17,11.729204545454545,-66.6611909650924
2019-06-18,17.664941176470588,-66.62833675564681
2019-06-19,14.356516853932584,-66.59548254620123
2019-06-20,14.958,-66.56262833675565
2019-06-21,7.88445652173913,-66.52977412731006
2019-06-22,6.166739130434783,-66.49691991786447
2019-06-23,5.918131868131868,-66.46406570841889
2019-06-24,7.592272727272727,-66.43121149897331
2019-06-25,11.576373626373627,-66.39835728952772
2019-06-26,10.877142857142857,-66.36550308008214
2019-06-27,8.483666666666666,-66.33264887063655
2019-06-28,9.119782608695653,-66.29979466119096
2019-06-29,11.81532608695652,-66.26694045174538
2019-06-30,7.569565217391304,-66.2340862422998
2019-07-01,6.779318181818182,-66.20123203285421
2019-07-02,7.5996629213483144,-66.16837782340862
2019-07-03,11.9125,-66.13552361396304
2019-07-04,16.032183908045976,-66.10266940451746
2019-07-05,15.564044943820225,-66.06981519507187
2019-07-06,14.16945054945055,-66.03696098562628
2019-07-07,11.338478260869566,-66.00410677618069
2019-07-08,9.716477272727273,-65.97125256673512
2019-07-09,13.93945652173913,-65.93839835728953
2019-07-10,17.482717391304348,-65.90554414784394
2019-07-11,11.661847826086957,-65.87268993839835
2019-07-12,9.080652173913043,-65.83983572895278
2019-07-13,10.7875,-65.80698151950719
2019-07-14,10.42438202247191,-65.7741273100616
2019-07-15,6.429285714285714,-65.74127310061601
2019-07-16,9.266739130434782,-65.70841889117042
2019-07-17,15.428735632183908,-65.67556468172485
2019-07-18,10.085714285714287,-65.64271047227926
2019-07-19,15.125731707317073,-65.60985626283367
2019-07-20,13.906813186813187,-65.57700205338809
2019-07-21,12.573636363636364,-65.54414784394251
2019-07-22,7.599090909090909,-65.51129363449692
2019-07-23,5.980898876404495,-65.47843942505133
2019-07-24,8.431075268817205,-65.44558521560575
2019-07-25,10.90575221238938,-65.41273100616016
2019-07-26,12.429649122807017,-65.37987679671458
2019-07-27,12.579739130434783,-65.347022587269
2019-07-28,13.266869565217391,-65.3141683778234
2019-07-29,13.951743119266055,-65.28131416837782
2019-07-30,18.925217391304347,-65.24845995893224
2019-07-31,16.548173913043478,-65.21560574948666
2019-08-01,14.014912280701754,-65.18275154004107
2019-08-02,10.600624999999999,-65.14989733059548
2019-08-03,10.541217391304349,-65.11704312114989
2019-08-04,8.933982300884956,-65.08418891170432
2019-08-05,9.980818181818181,-65.05133470225873
2019-08-06,15.10482456140351,-65.01848049281314
2019-08-07,13.464782608695652,-64.98562628336755
2019-08-08,15.426434782608696,-64.95277207392198
2019-08-09,9.76095652173913,-64.91991786447639
2019-08-10,6.406017699115044,-64.8870636550308
2019-08-11,5.832260869565217,-64.85420944558521
2019-08-12,8.711100917431192,-64.82135523613962
2019-08-13,12.222260869565217,-64.78850102669405
2019-08-14,22.422777777777778,-64.75564681724846
2019-08-15,17.41732142857143,-64.72279260780287
2019-08-16,10.224385964912281,-64.68993839835728
2019-08-17,9.819473684210527,-64.65708418891171
2019-08-18,14.614824561403509,-64.62422997946612
2019-08-19,10.634285714285715,-64.59137577002053
2019-08-20,9.283130434782608,-64.55852156057495
2019-08-21,14.514035087719298,-64.52566735112936
2019-08-22,9.50263157894737,-64.49281314168378
2019-08-23,8.395652173913044,-64.4599589322382
2019-08-24,6.2462608695652175,-64.4271047227926
2019-08-25,5.775614035087719,-64.39425051334702
2019-08-26,6.478686868686869,-64.36139630390144
2019-08-27,7.61070796460177,-64.32854209445586
2019-08-28,7.760869565217392,-64.29568788501027
2019-08-29,7.0912173913043475,-64.26283367556468
2019-08-30,7.55211009174312,-64.22997946611909
2019-08-31,6.9701818181818185,-64.19712525667352
2019-09-01,5.835739130434782,-64.16427104722793
