date,Value,running_var
2019-05-07,5.68,-68.0082135523614
2019-05-08,5.37,-67.97535934291581
2019-05-09,7.425,-67.94250513347022
2019-05-10,5.1899999999999995,-67.90965092402465
2019-05-11,6.335,-67.87679671457906
2019-05-12,9.935,-67.84394250513347
2019-05-13,5.02,-67.81108829568788
2019-05-14,3.93,-67.77823408624229
2019-05-15,3.835,-67.74537987679672
2019-05-16,8.665,-67.71252566735113
2019-05-17,8.97,-67.67967145790554
2019-05-18,6.38,-67.64681724845995
2019-05-19,6.1,-67.61396303901438
2019-05-20,12,-67.58110882956879
2019-05-21,4.88,-67.5482546201232
2019-05-22,3.76,-67.51540041067761
2019-05-23,6.25,-67.48254620123203
2019-05-24,6.56,-67.44969199178645
2019-05-25,3.995,-67.41683778234086
2019-05-26,5.09,-67.38398357289527
2019-05-27,4.675000000000001,-67.35112936344969
2019-05-28,7.15,-67.31827515400411
2019-05-29,9.63,-67.28542094455852
2019-05-30,9.45,-67.25256673511294
2019-05-31,9.96,-67.21971252566735
2019-06-01,13.37,-67.18685831622176
2019-06-02,15.96,-67.15400410677618
2019-06-03,6.25,-67.1211498973306
2019-06-04,3.87,-67.08829568788501
2019-06-05,6.66,-67.05544147843942
2019-06-06,11.94,-67.02258726899385
2019-06-07,9.245000000000001,-66.98973305954826
2019-06-08,5.965,-66.95687885010267
2019-06-09,5.055,-66.92402464065708
2019-06-10,5.095,-66.89117043121149
2019-06-11,4.23,-66.85831622176592
2019-06-12,4.525,-66.82546201232033
2019-06-13,3.5,-66.79260780287474
2019-06-14,4.695,-66.75975359342915
2019-06-15,5.6,-66.72689938398358
2019-06-16,7.65,-66.69404517453799
2019-06-17,9.32,-66.6611909650924
2019-06-18,14.335,-66.62833675564681
2019-06-19,9.22,-66.59548254620123
2019-06-20,8.72,-66.56262833675565
2019-06-21,5.495,-66.52977412731006
2019-06-22,4.4350000000000005,-66.49691991786447
2019-06-23,4.44,-66.46406570841889
2019-06-24,6.074999999999999,-66.43121149897331
2019-06-25,7.94,-66.39835728952772
2019-06-26,7.59,-66.36550308008214
2019-06-27,6.699999999999999,-66.33264887063655
2019-06-28,7.63,-66.29979466119096
2019-06-29,9.575,-66.26694045174538
2019-06-30,6.58,-66.2340862422998
2019-07-01,5.025,-66.20123203285421
2019-07-02,6.025,-66.16837782340862
2019-07-03,9.325,-66.13552361396304
2019-07-04,12.075,-66.10266940451746
2019-07-05,11.16,-66.06981519507187
2019-07-06,12.010000000000002,-66.03696098562628
2019-07-07,10.120000000000001,-66.00410677618069
2019-07-08,7.27,-65.97125256673512
2019-07-09,9.9,-65.93839835728953
2019-07-10,15.565000000000001,-65.90554414784394
2019-07-11,8.95,-65.87268993839835
2019-07-12,6.5649999999999995,-65.83983572895278
2019-07-13,9.399999999999999,-65.80698151950719
2019-07-14,9.305,-65.7741273100616
2019-07-15,4.82,-65.74127310061601
2019-07-16,8.06,-65.70841889117042
2019-07-17,13.434999999999999,-65.67556468172485
2019-07-18,6.7,-65.64271047227926
2019-07-19,13.34,-65.60985626283367
2019-07-20,13.495,-65.57700205338809
2019-07-21,11.75,-65.54414784394251
2019-07-22,6.3100000000000005,-65.51129363449692
2019-07-23,3.4800000000000004,-65.47843942505133
2019-07-24,6.84,-65.44558521560575
2019-07-25,9.36,-65.41273100616016
2019-07-26,11.41,-65.37987679671458
2019-07-27,11.6,-65.347022587269
2019-07-28,13.2,-65.3141683778234
2019-07-29,13.91,-65.28131416837782
2019-07-30,17.42,-65.24845995893224
2019-07-31,15.09,-65.21560574948666
2019-08-01,8.02,-65.18275154004107
2019-08-02,8.684999999999999,-65.14989733059548
2019-08-03,8.83,-65.11704312114989
2019-08-04,8.52,-65.08418891170432
2019-08-05,8.44,-65.05133470225873
2019-08-06,13.01,-65.01848049281314
2019-08-07,11.26,-64.98562628336755
2019-08-08,13.62,-64.95277207392198
2019-08-09,8.44,-64.91991786447639
2019-08-10,5.1850000000000005,-64.8870636550308
2019-08-11,4.96,-64.85420944558521
2019-08-12,7.369999999999999,-64.82135523613962
2019-08-13,10.94,-64.78850102669405
2019-08-14,19.765,-64.75564681724846
2019-08-15,14.754999999999999,-64.72279260780287
2019-08-16,8.34,-64.68993839835728
2019-08-17,8.434999999999999,-64.65708418891171
2019-08-18,12.88,-64.62422997946612
2019-08-19,8.58,-64.59137577002053
2019-08-20,8.2,-64.55852156057495
2019-08-21,11.555,-64.52566735112936
2019-08-22,8.190000000000001,-64.49281314168378
2019-08-23,6.9,-64.4599589322382
2019-08-24,4.93,-64.4271047227926
2019-08-25,4.82,-64.39425051334702
2019-08-26,5.62,-64.36139630390144
2019-08-27,6.71,-64.32854209445586
2019-08-28,5.88,-64.29568788501027
2019-08-29,5.31,-64.26283367556468
2019-08-30,6.455,-64.22997946611909
2019-08-31,5.24,-64.19712525667352
2019-09-01,4.92,-64.16427104722793
2019-09-02,4.81,-64.13141683778234
2019-09-03,7.22,-64.09856262833675
2019-09-04,10.11,-64.06570841889118
2019-09-05,4.515000000000001,-64.03285420944559
2019-09-06,5.55,-64
2019-09-07,5.46,-63.96714579055441
2019-09-08,6.74,-63.93429158110883
2019-09-09,5.255,-63.90143737166324
2019-09-10,6.35,-63.86858316221766
2019-09-11,7.6,-63.83572895277207
2019-09-12,13.27,-63.80287474332649
2019-09-13,4.4399999999999995,-63.7700205338809
2019-09-14,4.63,-63.73716632443532
2019-09-15,5.995,-63.70431211498973
2019-09-16,6.93,-63.671457905544145
2019-09-17,4.3149999999999995,-63.63860369609856
