date,Value,running_var
2019-06-06,10.04,-67.02258726899385
2019-06-07,10.665,-66.98973305954826
2019-06-08,7.59,-66.95687885010267
2019-06-09,5.855,-66.92402464065708
2019-06-10,10.4,-66.89117043121149
2019-06-11,9.605,-66.85831622176592
2019-06-12,8.600000000000001,-66.82546201232033
2019-06-13,7.79,-66.79260780287474
2019-06-14,9.395,-66.75975359342915
2019-06-15,8.665,-66.72689938398358
2019-06-16,10.425,-66.69404517453799
2019-06-17,13.215,-66.6611909650924
2019-06-18,19.23,-66.62833675564681
2019-06-19,17.525,-66.59548254620123
2019-06-20,16.59,-66.56262833675565
2019-06-21,9.29,-66.52977412731006
2019-06-22,7.2,-66.49691991786447
2019-06-23,6.905,-66.46406570841889
2019-06-24,8.195,-66.43121149897331
2019-06-25,11.325,-66.39835728952772
2019-06-26,11.69,-66.36550308008214
2019-06-27,9.515,-66.33264887063655
2019-06-28,10.780000000000001,-66.29979466119096
2019-06-29,11.719999999999999,-66.26694045174538
2019-06-30,8.415,-66.2340862422998
2019-07-01,7.485,-66.20123203285421
2019-07-02,8.01,-66.16837782340862
2019-07-03,14.02,-66.13552361396304
2019-07-04,15.14,-66.10266940451746
2019-07-05,16.14,-66.06981519507187
2019-07-06,14.62,-66.03696098562628
2019-07-07,11.399999999999999,-66.00410677618069
2019-07-08,11.190000000000001,-65.97125256673512
2019-07-09,15.64,-65.93839835728953
2019-07-10,18.145,-65.90554414784394
2019-07-11,14.08,-65.87268993839835
2019-07-12,11.23,-65.83983572895278
2019-07-13,11.645,-65.80698151950719
2019-07-14,11.05,-65.7741273100616
2019-07-15,7.1,-65.74127310061601
2019-07-16,11.355,-65.70841889117042
2019-07-17,16.16,-65.67556468172485
2019-07-18,10.395,-65.64271047227926
2019-07-19,17.25,-65.60985626283367
2019-07-20,15.95,-65.57700205338809
2019-07-21,13.03,-65.54414784394251
2019-07-22,8.715,-65.51129363449692
2019-07-23,7,-65.47843942505133
2019-07-24,9.24,-65.44558521560575
2019-07-25,12.325,-65.41273100616016
2019-07-26,13.77,-65.37987679671458
2019-07-27,13.600000000000001,-65.347022587269
2019-07-28,14.225000000000001,-65.3141683778234
2019-07-29,17.89,-65.28131416837782
2019-07-30,20.240000000000002,-65.24845995893224
2019-07-31,17.43,-65.21560574948666
2019-08-01,13.64,-65.18275154004107
2019-08-02,12.805,-65.14989733059548
2019-08-03,11.135,-65.11704312114989
2019-08-04,9.155000000000001,-65.08418891170432
2019-08-05,11.045,-65.05133470225873
2019-08-06,16.02,-65.01848049281314
2019-08-07,15.685,-64.98562628336755
2019-08-08,16.75,-64.95277207392198
2019-08-09,11.149999999999999,-64.91991786447639
2019-08-10,6.75,-64.8870636550308
2019-08-11,6.135,-64.85420944558521
2019-08-12,9.05,-64.82135523613962
2019-08-13,11.765,-64.78850102669405
2019-08-14,22.845,-64.75564681724846
2019-08-15,18.384999999999998,-64.72279260780287
2019-08-16,11.46,-64.68993839835728
2019-08-17,10.649999999999999,-64.65708418891171
2019-08-18,16.119999999999997,-64.62422997946612
2019-08-19,10.475,-64.59137577002053
2019-08-20,10.335,-64.55852156057495
2019-08-21,14.635,-64.52566735112936
2019-08-22,10.79,-64.49281314168378
2019-08-23,9.379999999999999,-64.4599589322382
2019-08-24,7.15,-64.4271047227926
2019-08-25,6.3,-64.39425051334702
2019-08-26,7.220000000000001,-64.36139630390144
2019-08-27,9.02,-64.32854209445586
2019-08-28,9.76,-64.29568788501027
2019-08-29,8.905000000000001,-64.26283367556468
2019-08-30,8.47,-64.22997946611909
2019-08-31,7.52,-64.19712525667352
2019-09-01,6.485,-64.16427104722793
2019-09-02,7.1,-64.13141683778234
2019-09-03,10.01,-64.09856262833675
2019-09-04,14.120000000000001,-64.06570841889118
2019-09-05,8.175,-64.03285420944559
2019-09-06,8.12,-64
2019-09-07,7.5600000000000005,-63.96714579055441
2019-09-08,8.28,-63.93429158110883
2019-09-09,9.67,-63.90143737166324
2019-09-10,9.82,-63.86858316221766
2019-09-11,10.03,-63.83572895277207
2019-09-12,16.84,-63.80287474332649
2019-09-13,7.390000000000001,-63.7700205338809
2019-09-14,7.47,-63.73716632443532
2019-09-15,7.805,-63.70431211498973
2019-09-16,9.35,-63.671457905544145
2019-09-17,7.73,-63.63860369609856
2019-09-18,7.79,-63.605749486652975
2019-09-19,7.359999999999999,-63.572895277207394
2019-09-20,10.24,-63.540041067761805
2019-09-21,10.7,-63.507186858316224
2019-09-22,12.99,-63.474332648870636
2019-09-23,13.2,-63.441478439425055
2019-09-24,6.470000000000001,-63.408624229979466
2019-09-25,8.12,-63.37577002053388
2019-09-26,9.855,-63.3429158110883
2019-09-27,8.405000000000001,-63.31006160164271
2019-09-28,6.745,-63.27720739219713
2019-09-29,6.765000000000001,-63.24435318275154
2019-09-30,6.0600000000000005,-63.21149897330596
2019-10-01,7.945,-63.17864476386037
2019-10-02,12.54,-63.14579055441479
2019-10-03,5.43,-63.1129363449692
2019-10-04,7.859999999999999,-63.08008213552361
2019-10-05,6.140000000000001,-63.04722792607803
2019-10-06,7.25,-63.01437371663244
2019-10-07,7.335,-62.98151950718686
2019-10-08,7.35,-62.94866529774127
2019-10-09,8,-62.91581108829569
2019-10-10,7.710000000000001,-62.8829568788501
2019-10-11,6.29,-62.85010266940452
2019-10-12,6.53,-62.81724845995893
2019-10-13,8.01,-62.784394250513344
2019-10-14,10.015,-62.75154004106776
2019-10-15,8.27,-62.718685831622174
2019-10-16,9.455,-62.68583162217659
2019-10-17,5.32,-62.652977412731005
